GWP,Methane
276.2119335,83.82
332.3327285,83.82
324.4293264,83.82
353.487385,83.82
302.0861121,83.82
342.5857386,83.82
321.5993877,83.82
244.7811156,83.82
255.7718138,83.82
248.7480952,83.82
275.5100628,83.82
286.0789179,83.82
275.6737971,83.82
320.6844148,83.82
302.2928651,83.82
321.1909475,83.82
340.516665,83.82
290.606305,83.82
356.6764047,83.82
376.805693,83.82
289.7650794,83.82
314.5317779,83.82
339.6473584,83.82
356.103279,83.82
277.7899213,83.82
376.3927429,83.82
282.8439268,83.82
250.3496142,83.82
332.2705409,83.82
394.679674,83.82
349.4692413,83.82
308.9001101,83.82
252.6671834,83.82
233.5902961,83.82
278.2344285,83.82
364.6990528,83.82
362.2446403,83.82
336.7257182,83.82
271.6878707,83.82
225.1300898,83.82
330.9771833,83.82
342.1795796,83.82
340.1342117,83.82
340.6912886,83.82
333.8255694,83.82
295.0222346,83.82
325.9339407,83.82
287.690183,83.82
280.3885416,83.82
396.7492731,83.82
291.8889042,83.82
365.9562608,83.82
283.1114559,83.82
266.2469771,83.82
294.3392747,83.82
268.7443672,83.82
311.6125088,83.82
338.261639,83.82
386.2745715,83.82
239.0875316,83.82
350.5194123,83.82
359.3899014,83.82
306.6202919,83.82
298.2600376,83.82
300.0396193,83.82
222.8524812,83.82
196.3558874,83.82
274.6243658,83.82
295.9827989,83.82
310.3068739,83.82
318.4782693,83.82
315.2593206,83.82
373.2132487,83.82
349.9573092,83.82
389.1303083,83.82
349.3237148,83.82
328.4365083,83.82
284.0818262,83.82
307.4934695,83.82
398.9709954,83.82
387.2789483,83.82
360.4201769,83.82
354.9640676,83.82
331.9538887,83.82
295.2545246,83.82
331.2977712,83.82
255.1549271,83.82
329.6294227,83.82
315.5146083,83.82
356.3865109,83.82
240.0209039,83.82
268.3178518,83.82
295.7356314,83.82
389.888793,83.82
350.6549527,83.82
331.363443,83.82
362.2428873,83.82
386.1186886,83.82
406.5419068,83.82
312.669678,83.82
278.0917935,83.82
278.0514997,83.82
311.9259222,83.82
369.82751,83.82
329.4140723,83.82
246.6761188,83.82
339.9330106,83.82
384.9332349,83.82
343.9772942,83.82
414.5910765,83.82
366.0379716,83.82
308.0155347,83.82
386.5742621,83.82
288.303993,83.82
347.3567621,83.82
266.772626,83.82
296.0520453,83.82
312.6724066,83.82
314.5460722,83.82
330.1620269,83.82
256.1795086,83.82
281.7106607,83.82
336.811351,83.82
320.1580754,83.82
318.8130419,83.82
350.6654716,83.82
259.7413262,83.82
278.2673036,83.82
345.7548146,83.82
333.0270553,83.82
283.6291721,83.82
353.4262281,83.82
273.1705686,83.82
317.2748626,83.82
287.980809,83.82
353.1317011,83.82
379.6394948,83.82
331.73294,83.82
336.9611317,83.82
331.7388129,83.82
326.8565685,83.82
335.1280242,83.82
277.7841623,83.82
282.5944061,83.82
319.2590653,83.82
382.1747366,83.82
354.9589706,83.82
351.6848431,83.82
385.8200256,83.82
359.135091,83.82
359.1149974,83.82
365.2503529,83.82
373.3805331,83.82
381.7378959,83.82
364.73309,83.82
371.2626674,83.82
350.9258182,83.82
351.5839897,83.82
349.0858822,83.82
321.003925,83.82
373.6758852,83.82
328.6751644,83.82
345.3768061,83.82
331.3180817,83.82
335.3888215,83.82
343.0673181,83.82
321.2641636,83.82
296.6436224,83.82
322.4688903,83.82
310.9390549,83.82
338.4105099,83.82
278.5903606,83.82
309.60209,83.82
367.8856776,83.82
398.2393905,83.82
368.6202344,83.82
309.0464463,83.82
278.9599604,83.82
260.6906295,83.82
273.1461667,83.82
302.034521,83.82
335.1803857,83.82
355.2416381,83.82
385.1124126,83.82
394.9685163,83.82
387.0296542,83.82
399.0090631,83.82
397.4762967,83.82
354.6121882,83.82
322.9033385,83.82
341.0513596,83.82
358.1252068,83.82
355.1490756,83.82
344.4099603,83.82
327.9844763,83.82
338.4807185,83.82
370.4582983,83.82
361.8384398,83.82
347.3542391,83.82
364.3519596,83.82
376.2621398,83.82
388.8647284,83.82
404.3848757,83.82
396.5712145,83.82
378.659701,83.82
347.1687262,83.82
371.1486806,83.82
397.2313331,83.82
389.0233456,83.82
348.3719075,83.82
338.3813248,83.82
397.0122647,83.82
413.6724081,83.82
405.0102206,83.82
408.6612925,83.82
371.5324642,83.82
356.1457612,83.82
336.310105,83.82
329.6245283,83.82
340.4939045,83.82
324.7044621,83.82
340.3941669,83.82
356.0233282,83.82
349.4871766,83.82
346.8040302,83.82
374.7564715,83.82
420.5879367,83.82
411.4710553,83.82
422.9393375,83.82
440.7956192,83.82
405.8635042,83.82
380.4624665,83.82
395.9920524,83.82
377.815232,83.82
375.2621153,83.82
391.2306053,83.82
416.5159227,83.82
414.0622098,83.82
401.4157606,83.82
367.6544953,83.82
390.3376976,83.82
378.9625134,83.82
372.7705144,83.82
383.9665631,83.82
415.4569657,83.82
415.8113552,83.82
423.0812845,83.82
410.6943514,83.82
376.0189542,83.82
339.1121012,83.82
308.3719172,83.82
297.3617428,83.82
368.7003303,83.82
420.0648216,83.82
421.6371752,83.82
432.0762729,83.82
423.5130604,83.82
447.5374417,83.82
436.5668423,83.82
429.4250889,83.82
407.187574,83.82
381.4241641,83.82
345.9850417,83.82
359.6903299,83.82
395.9839226,83.82
411.501556,83.82
400.3848858,83.82
335.6262396,83.82
280.8121736,83.82
294.4231434,83.82
284.6310503,83.82
367.3946401,83.82
343.0443315,83.82
351.5284753,83.82
312.8827593,83.82
295.8417466,83.82
362.9877259,83.82
326.3526748,83.82
368.9968682,83.82
369.2950908,83.82
350.9810065,83.82
361.5116515,83.82
373.037522,83.82
332.2085492,83.82
358.4972887,83.82
366.0329988,83.82
321.7104166,83.82
319.2237607,83.82
335.2256981,83.82
281.0717288,83.82
323.474447,83.82
414.3147704,83.82
353.7491558,83.82
321.7790594,83.82
315.8101352,83.82
339.468464,83.82
368.0940651,83.82
287.265282,83.82
352.9111856,83.82
445.9329211,83.82
389.0871921,83.82
336.1511129,83.82
422.7238095,83.82
357.2421735,83.82
360.1992281,83.82
345.4384547,83.82
290.712005,83.82
287.2274919,83.82
377.7267841,83.82
388.2199306,83.82
285.9611281,83.82
275.6481694,83.82
287.4836673,83.82
364.3571788,83.82
402.3623202,83.82
361.2813823,83.82
382.0179024,83.82
300.6818093,83.82
335.7091814,83.82
330.834817,83.82
340.0087502,83.82
252.4660603,83.82
248.8935885,83.82
320.8406398,83.82
366.9205479,83.82
355.1659872,83.82
303.8428378,83.82
226.0459862,83.82
349.6208497,83.82
302.5342039,83.82
282.3988268,83.82
375.4620723,83.82
308.7717139,83.82
337.4770146,83.82
293.2418604,83.82
287.0317805,83.82
329.567368,83.82
413.5097113,83.82
423.0739979,83.82
366.0834278,83.82
424.2167254,83.82
395.0828636,83.82
331.193421,83.82
277.2958581,83.82
353.7281254,83.82
362.9015839,83.82
301.7480088,83.82
358.0403035,83.82
336.0154104,83.82
406.1562445,83.82
370.325691,83.82
285.987071,83.82
352.5997,83.82
361.5686477,83.82
364.5386724,83.82
232.0508057,83.82
242.1537346,83.82
315.4232691,83.82
359.1771353,83.82
242.843837,83.82
277.364459,83.82
279.6030253,83.82
218.8120388,83.82
241.8220926,83.82
297.6791807,83.82
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,92.84
253.09438,92.84
315.8988883,92.84
342.8174971,92.84
262.0587624,92.84
315.7690014,92.84
309.5741436,92.84
345.5318195,92.84
273.3379266,92.84
245.1383011,92.84
373.5644263,92.84
342.5724153,92.84
391.3410321,92.84
412.8318078,92.84
244.5655178,92.84
246.3901232,92.84
376.2696677,92.84
333.9185497,92.84
233.7165473,92.84
241.5509024,92.84
324.571506,92.84
379.9005954,92.84
403.6295415,92.84
391.438725,92.84
367.7140569,92.84
320.4656623,92.84
384.5737224,92.84
379.3782119,92.84
337.3980346,92.84
333.542656,92.84
323.9831279,92.84
337.0279523,92.84
310.6446969,92.84
266.6518214,92.84
323.3282291,92.84
375.0441714,92.84
345.9789102,92.84
316.0223448,92.84
359.5214259,92.84
303.1288718,92.84
374.95942,92.84
378.1569752,92.84
229.9161146,92.84
286.9121013,92.84
343.1303404,92.84
264.8097452,92.84
211.2950817,92.84
208.636987,92.84
263.7148237,92.84
385.8649624,92.84
329.4519002,92.84
224.1882134,92.84
214.1396241,92.84
240.7396109,92.84
334.9085181,92.84
431.9573342,92.84
391.4201119,92.84
420.1027441,92.84
372.8483021,92.84
360.1752245,92.84
374.8874224,92.84
365.7559185,92.84
334.3055402,92.84
220.0801605,92.84
230.3336484,92.84
208.0477957,92.84
275.071076,92.84
368.4952076,92.84
289.7497528,92.84
265.9399315,92.84
272.1684447,92.84
290.4562838,92.84
205.1674195,92.84
202.6313752,92.84
303.7001421,92.84
220.9217082,92.84
190.7368453,92.84
266.2257467,92.84
312.8698203,92.84
175.0372558,92.84
205.7335817,92.84
202.3164378,92.84
244.4950886,92.84
306.9340232,92.84
344.6270543,92.84
282.7611561,92.84
207.7317944,92.84
222.9066983,92.84
204.9221496,92.84
244.1668032,92.84
345.2170583,92.84
222.6181819,92.84
339.8490126,92.84
215.5197343,92.84
319.5043216,92.84
301.2378129,92.84
231.606357,92.84
233.2386049,92.84
303.7400519,92.84
186.358466,92.84
204.5597202,92.84
294.6157949,92.84
256.9936935,92.84
286.3462731,92.84
259.3115112,92.84
278.3232799,92.84
303.0920444,92.84
356.2445485,92.84
291.6171076,92.84
230.873707,92.84
255.58945,92.84
248.1848811,92.84
240.4366205,92.84
230.9270919,92.84
277.5957528,92.84
262.8140097,92.84
310.9131848,92.84
254.8650142,92.84
225.9414047,92.84
229.6154098,92.84
303.6144428,92.84
267.706648,92.84
248.6631173,92.84
314.2180414,92.84
285.3884798,92.84
300.4722918,92.84
343.8452193,92.84
293.9683228,92.84
262.5365914,92.84
265.5082627,92.84
266.2378133,92.84
278.9626025,92.84
267.348104,92.84
316.7924325,92.84
323.798115,92.84
286.1187781,92.84
319.5815374,92.84
266.1299588,92.84
286.4716118,92.84
275.3054636,92.84
277.3182162,92.84
260.3734306,92.84
287.700315,92.84
293.7574214,92.84
284.4984244,92.84
263.2439503,92.84
327.115335,92.84
290.6739526,92.84
235.6901639,92.84
222.6630194,92.84
237.877582,92.84
264.7848691,92.84
307.8132443,92.84
376.5280291,92.84
360.1061445,92.84
345.8272201,92.84
275.5516853,92.84
308.0947016,92.84
333.1972826,92.84
325.4823363,92.84
363.1959266,92.84
344.8535406,92.84
308.9594737,92.84
277.1657586,92.84
270.3556964,92.84
266.012942,92.84
271.0476043,92.84
301.2522246,92.84
327.5510544,92.84
334.2252758,92.84
315.9904054,92.84
320.9535307,92.84
340.3333286,92.84
365.3659938,92.84
352.356264,92.84
316.7533776,92.84
318.2718255,92.84
325.3637462,92.84
363.5104711,92.84
381.3451503,92.84
387.4505365,92.84
352.3606513,92.84
341.6080294,92.84
338.9614847,92.84
323.6204055,92.84
299.7216498,92.84
313.0827802,92.84
328.0542997,92.84
341.9016913,92.84
362.2851521,92.84
392.4291583,92.84
400.5255767,92.84
389.1669259,92.84
371.8271814,92.84
402.3583869,92.84
362.4084082,92.84
375.7786113,92.84
352.2483762,92.84
349.1592909,92.84
357.6630651,92.84
321.2990986,92.84
347.5975834,92.84
362.6613552,92.84
