X (Lat),Y (Long),CNTY_NM,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Centroid Location
33.97408519,-99.77871109,Foard,79,48155,2.302711251,0.177999074,POINT (-99.77871109 33.97408519)
30.26636128,-98.39974086,Blanco,16,48031,1.683596565,0.173305894,POINT (-98.39974086 30.26636128)
33.60750375,-102.3430919,Hockley,111,48219,1.922123942,0.228718494,POINT (-102.3430919 33.60750375)
30.70566579,-98.68387398,Llano,150,48299,2.32327609,0.235689182,POINT (-98.68387398 30.70566579)
34.53064989,-101.734951,Swisher,219,48437,1.924577033,0.229375572,POINT (-101.734951 34.53064989)
33.2160906,-94.96509786,Titus,225,48449,2.00308064,0.106914371,POINT (-94.96509786 33.2160906)
32.04695429,-96.47248134,Navarro,175,48349,2.496053929,0.268572597,POINT (-96.47248134 32.04695429)
29.19345387,-95.45578479,Brazoria,20,48039,8.449998572,0.342869742,POINT (-95.45578479 29.19345387)
26.396627,-98.18088681,Hidalgo,109,48215,3.310209778,0.370852201,POINT (-98.18088681 26.396627)
33.61539176,-98.68783437,Archer,5,48009,1.941220218,0.232834442,POINT (-98.68783437 33.61539176)
28.32681413,-97.16546961,Refugio,196,48391,3.326709403,0.185681696,POINT (-97.16546961 28.32681413)
32.30506283,-102.6378839,Andrews,2,48003,2.579602167,0.372269477,POINT (-102.6378839 32.30506283)
29.39424415,-94.96474975,Galveston,85,48167,9.350247709,0.09632058,POINT (-94.96474975 29.39424415)
29.08201599,-97.35666976,De Witt,62,48123,2.065558037,0.218449329,POINT (-97.35666976 29.08201599)
29.45641495,-97.49279927,Gonzales,90,48177,2.124910622,0.257804828,POINT (-97.49279927 29.45641495)
29.2778362,-96.22197375,Wharton,241,48481,2.467353303,0.263143063,POINT (-96.22197375 29.2778362)
33.59396919,-96.10656755,Fannin,75,48147,2.266622964,0.226256795,POINT (-96.10656755 33.59396919)
30.96564645,-95.92818441,Madison,154,48313,2.012434968,0.115431297,POINT (-95.92818441 30.96564645)
35.83768863,-101.8929556,Moore,171,48341,1.949867354,0.234984076,POINT (-101.8929556 35.83768863)
30.7712607,-94.37651432,Tyler,229,48457,2.673865732,0.228323625,POINT (-94.37651432 30.7712607)
36.27778432,-100.27317,Lipscomb,148,48295,1.979805548,0.242396091,POINT (-100.27317 36.27778432)
30.49246139,-96.62109399,Burleson,26,48051,2.483673931,0.164949546,POINT (-96.62109399 30.49246139)
27.04340499,-98.6972921,Jim Hogg,125,48247,2.271751304,0.267624126,POINT (-98.6972921 27.04340499)
33.17753907,-99.21236832,Throckmorton,224,48447,1.92184449,0.229200301,POINT (-99.21236832 33.17753907)
27.43274395,-97.72889778,Kleberg,137,48273,4.444938992,0.213851073,POINT (-97.72889778 27.43274395)
31.79242191,-94.14495261,Shelby,210,48419,2.67878976,0.205815769,POINT (-94.14495261 31.79242191)
33.17991074,-101.2984496,Garza,86,48169,1.898322742,0.224420545,POINT (-101.2984496 33.17991074)
28.90493782,-97.85960621,Karnes,129,48255,1.986381859,0.179978182,POINT (-97.85960621 28.90493782)
31.32307061,-103.693143,Reeves,195,48389,4.574018208,0.648796011,POINT (-103.693143 31.32307061)
31.31764137,-95.42225367,Houston,114,48225,3.177820872,0.303655156,POINT (-95.42225367 31.31764137)
31.7686226,-106.2352229,El Paso,72,48141,2.435514554,0.250159941,POINT (-106.2352229 31.7686226)
35.40346802,-101.3542037,Carson,33,48065,1.957610985,0.237516554,POINT (-101.3542037 35.40346802)
29.35520493,-99.11008331,Medina,163,48325,2.496999583,0.321765559,POINT (-99.11008331 29.35520493)
33.98421585,-98.70153389,Wichita,243,48485,1.833176967,0.156295134,POINT (-98.70153389 33.98421585)
29.73912276,-94.60891308,Chambers,36,48071,3.954636694,0.152677647,POINT (-94.60891308 29.73912276)
34.96540246,-100.8140501,Donley,65,48129,1.966381841,0.238522128,POINT (-100.8140501 34.96540246)
33.14933822,-95.56414173,Hopkins,113,48223,2.294940916,0.198586657,POINT (-95.56414173 33.14933822)
31.19627791,-98.24142711,Lampasas,141,48281,1.998939902,0.175008429,POINT (-98.24142711 31.19627791)
31.25317017,-96.93579511,Falls,74,48145,1.797852312,0.189767948,POINT (-96.93579511 31.25317017)
32.73584155,-98.83612016,Stephens,215,48429,1.922499806,0.229654219,POINT (-98.83612016 32.73584155)
30.33423319,-97.78194654,Travis,227,48453,2.458272479,0.248996407,POINT (-97.78194654 30.33423319)
35.8385577,-100.8135689,Roberts,197,48393,1.965001856,0.238522476,POINT (-100.8135689 35.8385577)
33.61459873,-101.2998612,Crosby,54,48107,1.913220344,0.22690701,POINT (-101.2998612 33.61459873)
30.06153035,-99.35016969,Kerr,133,48265,2.589998866,0.268287315,POINT (-99.35016969 30.06153035)
32.78634374,-95.38206498,Wood,250,48499,2.181601134,0.173379789,POINT (-95.38206498 32.78634374)
33.23345819,-98.1725509,Jack,120,48237,1.934221464,0.230607004,POINT (-98.1725509 33.23345819)
32.79797929,-94.35725239,Marion,155,48315,2.03368551,0.104798923,POINT (-94.35725239 32.79797929)
34.07051782,-101.8269082,Hale,96,48189,2.018357852,0.254141583,POINT (-101.8269082 34.07051782)
30.71559322,-104.1403539,Jeff Davis,123,48243,3.438754776,0.552008437,POINT (-104.1403539 30.71559322)
32.77185236,-97.29116473,Tarrant,220,48439,1.905740162,0.225294171,POINT (-97.29116473 32.77185236)
30.01093722,-95.98768942,Waller,237,48473,2.435199131,0.125424201,POINT (-95.98768942 30.01093722)
31.36617698,-101.5230108,Reagan,192,48383,2.153535174,0.288722753,POINT (-101.5230108 31.36617698)
32.37514553,-95.26909511,Smith,212,48423,2.919216091,0.235718677,POINT (-95.26909511 32.37514553)
32.56368961,-95.8364862,Van Zandt,234,48467,2.402843541,0.213776748,POINT (-95.8364862 32.56368961)
33.638465,-97.21247642,Cooke,49,48097,2.832732183,0.225401457,POINT (-97.21247642 33.638465)
28.86530621,-99.76102001,Zavala,254,48507,2.300184353,0.311031225,POINT (-99.76102001 28.86530621)
34.53074134,-100.6809876,Hall,97,48191,1.927148111,0.229964395,POINT (-100.6809876 34.53074134)
29.9446397,-98.71160511,Kendall,131,48259,1.606343256,0.160452828,POINT (-98.71160511 29.9446397)
28.65708563,-97.42646082,Goliad,89,48175,2.171168793,0.205451115,POINT (-97.42646082 28.65708563)
33.17293501,-102.8278792,Yoakum,251,48501,1.791577313,0.200359767,POINT (-102.8278792 33.17293501)
33.60614755,-99.74144313,Knox,138,48275,2.133528675,0.215261898,POINT (-99.74144313 33.60614755)
31.55234489,-97.20184883,McLennan,161,48309,2.088494087,0.260991644,POINT (-97.20184883 31.55234489)
29.81205836,-103.2518906,Brewster,22,48043,6.004896343,1.497093043,POINT (-103.2518906 29.81205836)
32.16222886,-94.30552858,Panola,183,48365,2.0573828,0.203268291,POINT (-94.30552858 32.16222886)
29.74724753,-99.24637282,Bandera,10,48019,2.120842963,0.192677466,POINT (-99.24637282 29.74724753)
34.53014507,-102.784594,Parmer,185,48369,1.905044997,0.225119009,POINT (-102.784594 34.53014507)
32.89786769,-96.40780584,Rockwall,199,48397,0.777033816,0.037090158,POINT (-96.40780584 32.89786769)
31.0885069,-95.13551682,Trinity,228,48455,2.235507348,0.174571747,POINT (-95.13551682 31.0885069)
31.90050476,-97.63437613,Bosque,18,48035,2.554113353,0.247533464,POINT (-97.63437613 31.90050476)
31.88849293,-100.5298747,Coke,41,48081,1.957649096,0.22908758,POINT (-100.5298747 31.88849293)
33.17550691,-95.21841437,Franklin,81,48159,1.422054395,0.073838514,POINT (-95.21841437 33.17550691)
31.99079033,-97.1324142,Hill,110,48217,2.57039298,0.24370225,POINT (-97.1324142 31.99079033)
28.48966896,-96.64708119,Calhoun,29,48057,9.289508624,0.129738262,POINT (-96.64708119 28.48966896)
31.30393203,-100.9824126,Irion,119,48235,2.048732909,0.258119251,POINT (-100.9824126 31.30393203)
31.86921148,-102.0315032,Midland,165,48329,1.893898494,0.222664882,POINT (-102.0315032 31.86921148)
31.77432313,-98.99989649,Brown,25,48049,2.082173277,0.236003924,POINT (-98.99989649 31.77432313)
29.17315896,-98.08621015,Wilson,247,48493,1.917175929,0.193944043,POINT (-98.08621015 29.17315896)
35.40497586,-102.6029949,Oldham,180,48359,2.638663818,0.385882971,POINT (-102.6029949 35.40497586)
31.70486443,-96.14918535,Freestone,82,48161,2.497757674,0.219827235,POINT (-96.14918535 31.70486443)
31.34321941,-93.85170439,Sabine,202,48403,2.033399379,0.141502516,POINT (-93.85170439 31.34321941)
34.96602014,-102.6048162,Deaf Smith,59,48117,2.622245621,0.38287479,POINT (-102.6048162 34.96602014)
31.25475875,-94.611742,Angelina,3,48005,3.432799188,0.212056914,POINT (-94.611742 31.25475875)
33.18284492,-100.7791031,Kent,132,48263,1.89953853,0.223632298,POINT (-100.7791031 33.18284492)
33.62074539,-95.0501886,Red River,194,48387,3.528132565,0.266174116,POINT (-95.0501886 33.62074539)
29.35000302,-100.4178441,Kinney,136,48271,2.431027941,0.328233005,POINT (-100.4178441 29.35000302)
33.205574,-97.11681154,Denton,61,48121,1.969323966,0.238359434,POINT (-97.11681154 33.205574)
30.49747152,-100.5382263,Sutton,218,48435,2.530570573,0.352582441,POINT (-100.5382263 30.49747152)
29.58257236,-97.94850308,Guadalupe,95,48187,2.388210502,0.172719353,POINT (-97.94850308 29.58257236)
31.85008609,-103.0484794,Winkler,248,48495,1.928019223,0.207372195,POINT (-103.0484794 31.85008609)
28.42161168,-99.760574,Dimmit,64,48127,2.324663844,0.314454367,POINT (-99.760574 28.42161168)
33.21585061,-97.65444124,Wise,249,48497,1.93265109,0.231118947,POINT (-97.65444124 33.21585061)
35.83750155,-100.2704628,Hemphill,107,48211,1.952454268,0.235628886,POINT (-100.2704628 35.83750155)
35.40128927,-101.8940484,Potter,188,48375,1.958919769,0.236917308,POINT (-101.8940484 35.40128927)
34.52929257,-100.2075664,Childress,38,48075,1.708574094,0.18152779,POINT (-100.2075664 34.52929257)
26.47132899,-97.64303323,Willacy,245,48489,3.324169395,0.155451086,POINT (-97.64303323 26.47132899)
30.10353518,-97.31187705,Bastrop,11,48021,1.83148179,0.217074712,POINT (-97.31187705 30.10353518)
30.48676251,-99.74892716,Kimble,134,48267,2.472410508,0.304157368,POINT (-99.74892716 30.48676251)
32.74720063,-100.9165071,Scurry,208,48415,1.905585978,0.226711706,POINT (-100.9165071 32.74720063)
36.27846334,-100.815653,Ochiltree,179,48357,1.967321287,0.238826482,POINT (-100.815653 36.27846334)
36.27753179,-101.3545624,Hansford,99,48195,1.965538637,0.239189303,POINT (-101.3545624 36.27753179)
35.83996755,-102.6028835,Hartley,104,48205,2.617213445,0.377984981,POINT (-102.6028835 35.83996755)
26.13847728,-97.51499968,Cameron,31,48061,6.776490677,0.237848399,POINT (-97.51499968 26.13847728)
28.86711039,-95.98533866,Matagorda,158,48321,8.747459315,0.272799518,POINT (-95.98533866 28.86711039)
30.78843382,-98.18252382,Burnet,27,48053,2.494223061,0.249033659,POINT (-98.18252382 30.78843382)
32.87004212,-95.79347545,Rains,190,48379,1.336044369,0.064429716,POINT (-95.79347545 32.87004212)
30.05782657,-98.03104087,Hays,106,48209,1.803226471,0.164422953,POINT (-98.03104087 30.05782657)
30.71742293,-99.2263026,Mason,157,48319,1.92661454,0.227714795,POINT (-99.2263026 30.71742293)
31.509424,-103.1024636,Ward,238,48475,2.939565254,0.205498549,POINT (-103.1024636 31.509424)
33.38623601,-95.67221685,Delta,60,48119,2.321141746,0.06975473,POINT (-95.67221685 33.38623601)
27.72621549,-97.61767326,Nueces,178,48355,9.814653083,0.203472348,POINT (-97.61767326 27.72621549)
32.2977738,-99.37359692,Callahan,30,48059,1.897523701,0.223364373,POINT (-99.37359692 32.2977738)
31.03778267,-97.47790776,Bell,14,48027,2.178761589,0.265926568,POINT (-97.47790776 31.03778267)
31.83695632,-95.16515234,Cherokee,37,48073,3.639151502,0.262098402,POINT (-95.16515234 31.83695632)
32.34839264,-96.79467417,Ellis,71,48139,2.245024488,0.236142131,POINT (-96.79467417 32.34839264)
33.6101944,-101.8205745,Lubbock,152,48303,1.912739,0.226605557,POINT (-101.8205745 33.6101944)
30.22502597,-102.0764533,Terrell,222,48443,3.843494266,0.572453883,POINT (-102.0764533 30.22502597)
30.72291931,-101.4118364,Crockett,53,48105,5.08101873,0.684742415,POINT (-101.4118364 30.72291931)
28.89418432,-98.52741302,Atascosa,7,48013,2.273610657,0.291800502,POINT (-98.52741302 28.89418432)
31.86908156,-102.5430907,Ector,69,48135,1.894771979,0.222982245,POINT (-102.5430907 31.86908156)
30.6610425,-96.3022943,Brazos,21,48041,2.811591006,0.143906946,POINT (-96.3022943 30.6610425)
28.12709562,-96.99258951,Aransas,4,48007,6.125349667,0.06711832,POINT (-96.99258951 28.12709562)
32.76653746,-96.77781862,Dallas,57,48113,1.90778162,0.226420617,POINT (-96.77781862 32.76653746)
32.30610232,-101.4355097,Howard,115,48227,1.900374847,0.224253983,POINT (-101.4355097 32.30610232)
34.07409017,-100.7798961,Motley,173,48345,2.0037168,0.250394064,POINT (-100.7798961 34.07409017)
31.39427005,-94.16809762,San Augustine,203,48405,2.593834231,0.145542583,POINT (-94.16809762 31.39427005)
28.74260943,-100.3144638,Maverick,159,48323,2.862972203,0.308980941,POINT (-100.3144638 28.74260943)
32.23640361,-98.21722756,Erath,73,48143,2.114377539,0.269412231,POINT (-98.21722756 32.23640361)
33.61663428,-100.7788138,Dickens,63,48125,1.920691475,0.227699784,POINT (-100.7788138 33.61663428)
29.83677935,-97.61983479,Caldwell,28,48055,1.870385996,0.132116353,POINT (-97.61983479 29.83677935)
32.74258137,-101.9476136,Dawson,58,48115,1.903707265,0.22477727,POINT (-101.9476136 32.74258137)
32.97321771,-94.97860185,Camp,32,48063,1.426383691,0.050799133,POINT (-94.97860185 32.97321771)
27.68133382,-98.50889672,Duval,67,48131,2.76954491,0.425467009,POINT (-98.50889672 27.68133382)
33.123531,-96.08550014,Hunt,117,48231,2.045719894,0.220775693,POINT (-96.08550014 33.123531)
31.49524259,-98.59552736,Mills,167,48333,2.438547822,0.184389335,POINT (-98.59552736 31.49524259)
29.89300587,-101.15171,Val Verde,233,48465,4.417380788,0.781933535,POINT (-101.15171 29.89300587)
30.78100044,-102.7235743,Pecos,186,48371,6.107163024,1.162560526,POINT (-102.7235743 30.78100044)
33.61648147,-99.21351964,Baylor,12,48023,1.912457508,0.226681232,POINT (-99.21351964 33.61648147)
32.48036452,-94.81723694,Gregg,93,48183,1.34278303,0.068262175,POINT (-94.81723694 32.48036452)
33.60410808,-102.8285264,Cochran,40,48079,1.768253751,0.19513349,POINT (-102.8285264 33.60410808)
30.74391255,-94.02495849,Jasper,122,48241,3.772042636,0.236629114,POINT (-94.02495849 30.74391255)
31.70479181,-98.11066654,Hamilton,98,48193,1.980430905,0.206040199,POINT (-98.11066654 31.70479181)
34.53000304,-102.2617608,Castro,35,48069,1.923920787,0.228709346,POINT (-102.2617608 34.53000304)
31.82786516,-101.0500699,Sterling,216,48431,1.946807264,0.227750271,POINT (-101.0500699 31.82786516)
26.56212627,-98.73834895,Starr,214,48427,2.600375286,0.288492302,POINT (-98.73834895 26.56212627)
31.42846287,-102.5156425,Crane,52,48103,2.397673949,0.192992554,POINT (-102.5156425 31.42846287)
33.11368507,-94.73205137,Morris,172,48343,1.538698151,0.064495483,POINT (-94.73205137 33.11368507)
34.53041048,-101.2085769,Briscoe,23,48045,1.923905198,0.229466022,POINT (-101.2085769 34.53041048)
31.4044442,-100.4620678,Tom Green,226,48451,3.513531432,0.378383033,POINT (-100.4620678 31.4044442)
30.88981785,-99.82061472,Menard,164,48327,2.017755354,0.220448427,POINT (-99.82061472 30.88981785)
32.77852261,-97.80472194,Parker,184,48367,1.910490395,0.225917327,POINT (-97.80472194 32.77852261)
30.73899492,-95.57224172,Walker,236,48471,2.152040802,0.195448316,POINT (-95.57224172 30.73899492)
27.0315669,-98.21874127,Brooks,24,48047,2.056815131,0.222310537,POINT (-98.21874127 27.0315669)
28.34621032,-99.1034773,La Salle,142,48283,2.402579048,0.358902539,POINT (-99.1034773 28.34621032)
29.98248216,-100.3048937,Edwards,70,48137,3.37029966,0.513424083,POINT (-100.3048937 29.98248216)
30.31065065,-96.96568735,Lee,144,48287,2.213853346,0.15399046,POINT (-96.96568735 30.31065065)
31.02705415,-96.51272568,Robertson,198,48395,2.503122646,0.211742258,POINT (-96.51272568 31.02705415)
33.17670764,-98.68781396,Young,252,48503,1.941650639,0.233021666,POINT (-98.68781396 33.17670764)
28.41736675,-97.74116811,Bee,13,48025,2.228981316,0.209983578,POINT (-97.74116811 28.41736675)
33.78379717,-98.208958,Clay,39,48077,2.382094906,0.279980045,POINT (-98.208958 33.78379717)
30.57948905,-95.16683273,San Jacinto,204,48407,2.203357163,0.153019057,POINT (-95.16683273 30.57948905)
29.35669829,-99.76203107,Uvalde,232,48463,2.475666015,0.376203913,POINT (-99.76203107 29.35669829)
33.17824805,-99.73029401,Haskell,105,48207,1.91739054,0.227925166,POINT (-99.73029401 33.17824805)
32.22229511,-97.77456553,Somervell,213,48425,0.911909725,0.047473448,POINT (-97.77456553 32.22229511)
29.44884523,-98.51966309,Bexar,15,48029,2.729791097,0.302845599,POINT (-98.51966309 29.44884523)
33.62684371,-96.67764864,Grayson,92,48181,2.365599697,0.246442393,POINT (-96.67764864 33.62684371)
34.0684915,-102.8299069,Bailey,9,48017,1.836282732,0.209332494,POINT (-102.8299069 34.0684915)
32.73970429,-99.87850599,Jones,128,48253,1.952559971,0.23329206,POINT (-99.87850599 32.73970429)
29.88425832,-94.1708778,Jefferson,124,48245,5.230217632,0.231656113,POINT (-94.1708778 29.88425832)
32.10803224,-94.76169577,Rusk,201,48401,2.447868376,0.23243584,POINT (-94.76169577 32.10803224)
31.8694238,-101.520742,Glasscock,88,48173,1.892444371,0.222376542,POINT (-101.520742 31.8694238)
30.31800246,-98.94627245,Gillespie,87,48171,2.150997368,0.257843883,POINT (-98.94627245 30.31800246)
32.74305155,-100.4019503,Fisher,77,48151,1.903030402,0.225014335,POINT (-100.4019503 32.74305155)
32.21188078,-95.85356847,Henderson,108,48213,3.152908752,0.235056213,POINT (-95.85356847 32.21188078)
32.7360276,-99.35403034,Shackelford,209,48417,1.915819092,0.228163176,POINT (-99.35403034 32.7360276)
32.75316856,-98.31299522,Palo Pinto,182,48363,2.014896515,0.245592147,POINT (-98.31299522 32.75316856)
34.08044953,-99.24089568,Wilbarger,244,48487,2.499326666,0.247248608,POINT (-99.24089568 34.08044953)
34.07239775,-101.3033037,Floyd,78,48153,2.006894199,0.251107266,POINT (-101.3033037 34.07239775)
30.12807126,-93.89653794,Orange,181,48361,1.872029884,0.088532121,POINT (-93.89653794 30.12807126)
31.83105393,-99.97624799,Runnels,200,48399,2.040586091,0.260769629,POINT (-99.97624799 31.83105393)
31.77329421,-99.45362579,Coleman,42,48083,2.675641055,0.316062015,POINT (-99.45362579 31.77329421)
32.30605847,-101.9512464,Martin,156,48317,1.912684351,0.227088514,POINT (-101.9512464 32.30605847)
35.40129002,-100.2697634,Wheeler,242,48483,1.951251644,0.235165817,POINT (-100.2697634 35.40129002)
31.44709817,-104.5177421,Culberson,55,48109,4.080850332,0.937432831,POINT (-104.5177421 31.44709817)
32.30636024,-100.9211128,Mitchell,168,48335,1.914674328,0.227360727,POINT (-100.9211128 32.30636024)
31.45613738,-105.3869428,Hudspeth,116,48229,4.987478424,1.12311582,POINT (-105.3869428 31.45613738)
32.7362827,-94.94132011,Upshur,230,48459,1.799822872,0.147655454,POINT (-94.94132011 32.7362827)
30.15153187,-94.8120925,Liberty,146,48291,2.401832368,0.284788514,POINT (-94.8120925 30.15153187)
30.64834941,-97.60105467,Williamson,246,48491,2.482291287,0.276928338,POINT (-97.60105467 30.64834941)
31.61604108,-94.6158776,Nacogdoches,174,48347,4.078397345,0.241586771,POINT (-94.6158776 31.61604108)
31.84912973,-103.5799063,Loving,151,48301,2.144683446,0.166916127,POINT (-103.5799063 31.84912973)
27.73131099,-98.0898649,Jim Wells,126,48249,2.427014479,0.205830636,POINT (-98.0898649 27.73131099)
31.36853957,-102.0430005,Upton,231,48461,2.207151319,0.305162453,POINT (-102.0430005 31.36853957)
30.78619977,-93.74462993,Newton,176,48351,3.669101627,0.229430421,POINT (-93.74462993 30.78619977)
33.66746186,-95.57110784,Lamar,139,48277,2.716470116,0.235193679,POINT (-95.57110784 33.66746186)
30.79250963,-94.82994949,Polk,187,48373,2.781485004,0.271059145,POINT (-94.82994949 30.79250963)
33.18789055,-96.57248871,Collin,43,48085,1.931216329,0.221921741,POINT (-96.57248871 33.18789055)
34.28865227,-99.7453851,Hardeman,100,48197,1.904729035,0.17664409,POINT (-99.7453851 34.28865227)
28.35351091,-98.56842256,McMullen,162,48311,2.118908742,0.277594527,POINT (-98.56842256 28.35351091)
34.0776571,-100.2786983,Cottle,51,48101,2.021259965,0.22801233,POINT (-100.2786983 34.0776571)
28.86726774,-99.10826004,Frio,83,48163,2.113710641,0.271133775,POINT (-99.10826004 28.86726774)
35.40130666,-100.812475,Gray,91,48179,1.968332271,0.238979313,POINT (-100.812475 35.40130666)
36.27777107,-102.6021647,Dallam,56,48111,2.647748843,0.391034911,POINT (-102.6021647 36.27777107)
26.92409448,-97.68137783,Kenedy,66,48261,5.067864307,0.389397352,POINT (-97.68137783 26.92409448)
29.52763253,-95.77090562,Fort Bend,80,48157,2.517978008,0.213479793,POINT (-95.77090562 29.52763253)
34.96522076,-101.3572412,Armstrong,6,48011,1.945689566,0.233109934,POINT (-101.3572412 34.96522076)
34.96498493,-100.2700733,Collingsworth,44,48087,1.94963166,0.234984086,POINT (-100.2700733 34.96498493)
33.07750446,-94.34348771,Cass,34,48067,2.729630317,0.240082449,POINT (-94.34348771 33.07750446)
36.27765824,-101.8933822,Sherman,211,48421,1.967991354,0.239757036,POINT (-101.8933822 36.27765824)
33.17373729,-102.335157,Terry,223,48445,1.896687331,0.222977795,POINT (-102.335157 33.17373729)
31.54541898,-96.58056718,Limestone,147,48293,1.942498836,0.229530725,POINT (-96.58056718 31.54541898)
29.83182711,-99.82215881,Real,193,48385,1.867441064,0.169204892,POINT (-99.82215881 29.83182711)
33.17685487,-101.8160235,Lynn,153,48305,1.900233625,0.223592766,POINT (-101.8160235 33.17685487)
29.38437003,-96.93020993,Lavaca,143,48285,1.928384427,0.233736863,POINT (-96.93020993 29.38437003)
32.3034718,-100.4060989,Nolan,177,48353,1.910603822,0.226700617,POINT (-100.4060989 32.3034718)
32.74074537,-102.6351246,Gaines,84,48165,2.590419039,0.374514715,POINT (-102.6351246 32.74074537)
30.30022409,-95.50301411,Montgomery,170,48339,2.689243253,0.261548074,POINT (-95.50301411 30.30022409)
31.32645211,-99.86413426,Concho,48,48095,2.16469319,0.243756513,POINT (-99.86413426 31.32645211)
30.33238431,-94.39021394,Hardin,101,48199,2.706128257,0.21806037,POINT (-94.39021394 30.33238431)
29.85967144,-95.39782106,Harris,102,48201,7.731110055,0.42279836,POINT (-95.39782106 29.85967144)
31.29655719,-95.99554292,Leon,145,48289,2.92344693,0.265163044,POINT (-95.99554292 31.29655719)
33.44572786,-94.42324298,Bowie,19,48037,4.057052845,0.231733439,POINT (-94.42324298 33.44572786)
32.59927808,-96.28779341,Kaufman,130,48257,2.002230724,0.200935223,POINT (-96.28779341 32.59927808)
31.81321543,-95.65251774,Anderson,1,48001,3.70938097,0.265991956,POINT (-95.65251774 31.81321543)
31.15520543,-98.81754295,San Saba,206,48411,3.113854136,0.278794089,POINT (-98.81754295 31.15520543)
30.89661056,-100.538097,Schleicher,207,48413,2.450866584,0.321456176,POINT (-100.538097 30.89661056)
29.6208542,-96.52630821,Colorado,45,48089,2.361173893,0.234963166,POINT (-96.52630821 29.6208542)
30.78625299,-96.97683495,Milam,166,48331,2.302703729,0.249329869,POINT (-96.97683495 30.78625299)
28.3514375,-98.12474493,Live Oak,149,48297,2.313603449,0.257196033,POINT (-98.12474493 28.3514375)
32.7436916,-101.4317533,Borden,17,48033,1.908679146,0.22582417,POINT (-101.4317533 32.7436916)
31.19896752,-99.34754972,McCulloch,160,48307,2.440158495,0.263267604,POINT (-99.34754972 31.19896752)
32.37899918,-97.36660504,Johnson,127,48251,1.828065697,0.18214922,POINT (-97.36660504 32.37899918)
33.67496328,-97.72466993,Montague,169,48337,2.090266045,0.235632601,POINT (-97.72466993 33.67496328)
33.17842158,-100.255259,Stonewall,217,48433,1.943594992,0.232000971,POINT (-100.255259 33.17842158)
29.80816362,-98.27814516,Comal,46,48091,1.949036658,0.139000572,POINT (-98.27814516 29.80816362)
32.32739258,-98.8325713,Eastland,68,48133,1.988668355,0.230684082,POINT (-98.8325713 32.32739258)
31.9490639,-98.55841538,Comanche,47,48093,2.095434312,0.235313921,POINT (-98.55841538 31.9490639)
33.61641863,-100.2558584,King,135,48269,1.928296567,0.229952945,POINT (-100.2558584 33.61641863)
30.2145299,-96.40356575,Washington,239,48477,2.547105613,0.150743535,POINT (-96.40356575 30.2145299)
27.76102524,-99.33170164,Webb,240,48479,4.761420357,0.799981776,POINT (-99.33170164 27.76102524)
29.87683207,-96.91968047,Fayette,76,48149,2.039019253,0.232060484,POINT (-96.91968047 29.87683207)
32.54814898,-94.37155736,Harrison,103,48203,2.563571486,0.227725909,POINT (-94.37155736 32.54814898)
29.99977786,-104.2405552,Presidio,189,48377,5.308464465,0.933759578,POINT (-104.2405552 29.99977786)
29.88711223,-96.27791829,Austin,8,48015,2.481689338,0.158727256,POINT (-96.27791829 29.88711223)
34.96594288,-101.8968527,Randall,191,48381,1.957364828,0.235811469,POINT (-101.8968527 34.96594288)
32.43107878,-97.83280338,Hood,112,48221,1.398003437,0.109374113,POINT (-97.83280338 32.43107878)
28.79640594,-96.97176602,Victoria,235,48469,2.775292675,0.212539676,POINT (-96.97176602 28.79640594)
35.84000866,-101.3547257,Hutchinson,118,48233,1.93562571,0.231227108,POINT (-101.3547257 35.84000866)
31.39087578,-97.7991883,Coryell,50,48099,2.05310828,0.259511549,POINT (-97.7991883 31.39087578)
28.95603133,-96.57883268,Jackson,121,48239,2.989531452,0.203834941,POINT (-96.57883268 28.95603133)
32.30138229,-99.89003941,Taylor,221,48441,1.920012399,0.227958667,POINT (-99.89003941 32.30138229)
27.00089072,-99.16860134,Zapata,253,48505,2.24698193,0.24921502,POINT (-99.16860134 27.00089072)
28.00922186,-97.51859857,San Patricio,205,48409,3.462105819,0.167653718,POINT (-97.51859857 28.00922186)
30.54360689,-95.98557334,Grimes,94,48185,2.427391028,0.195299055,POINT (-95.98557334 30.54360689)
34.06861242,-102.3517095,Lamb,140,48279,2.03117493,0.257464651,POINT (-102.3517095 34.06861242)
